Date,City,State,AreaType,School,Fatalities,Wounded,Desc
11/1/1991,Iowa City,Iowa,No Info,College,6,1.0,"University of Iowa shooting: 28-year-old former graduate student, Gang Lu, killed four members ofÂ¬â University of Iowa's faculty and a research student, and seriously wounded another student. 47-year-old professor of physics and astronomy, Christoph K. Goertz, 45-year-old associate professor of physics and astronomy, Robert Alan Smith, 44-year-old chairman of the physics and astronomy department, Dwight R. Nicholson, 56-year-old associate vice president for academic affairs, Dr. Theresa Anne Cleary, shot in the head and died the following day, and 27-year-old research investigator in physics and astronomy, Dr. Shan Linhua. 23-year-old Miya Rodolfo-Sioson, Dr. Cleary's temporary student receptionist in the grievance office, survived but was left paralyzed from the neck down. Lu then shot himself in the head, he died shortly after police arrived.[245][246][247][248]"
11/14/1991,Houston,Texas,urban,High School,0,No Info,No Info
11/25/1991,Brooklyn,New York,urban,High School,1,No Info,No Info
11/25/1991,Brooklyn,New York,No Info,High School,1,0.0,"Thomas Jefferson High School shooting: During an argument between two teens, a stray bullet killed a third, uninvolved 16-year-old student. In 1992, 14-year-old shooter Jason Bentley, was sentenced to three to nine years in prison.[235]"
12/12/1991,Kent,Ohio,No Info,College,1,0.0,"51-year-old custodian, John Frazier, was killed outside a campus auditorium ofÂ¬â Kent State University.[249]"
1/29/1992,Kent,Ohio,No Info,College,0,1.0,"26-year-old graduate student, Sarah Smith, was wounded in the chest as she was waiting for her husband to pick her up atÂ¬â Kent State University.[250]"
2/26/1992,Brooklyn,New York,urban,High School,2,No Info,No Info
2/26/1992,Brooklyn,New York,No Info,High School,2,0.0,"Thomas Jefferson High School second shooting: 15-year-old Kahlil Sumpter, killed fellow students, 16-year-old Tyrone Sinkler and 17-year-old Ian Moore, on the school's second-floor hallway.[251]Â¬â In 1993, he was sentenced to between 6âÃÃ® and twenty years in prison. He was released on parole in 1998.[235]"
5/1/1992,Olivehurst,California,suburban,High School,4,No Info,No Info
5/1/1992,Olivehurst,California,No Info,High School,3,10.0,"Lindhurst High School shooting: Former student, 20-year-old Eric Houston, killed three students and one teacher, and wounded nine other students and teacher before surrendering to police.[180][235]"
5/14/1992,Napa,California,urban,Middle School,0,No Info,No Info
9/11/1992,Lincoln,Texas,urban,High School,0,No Info,No Info
10/12/1992,Lincoln,Nebraska,urban,College,0,No Info,No Info
10/12/1992,Tucson,Arizona,urban,High School,1,No Info,No Info
10/19/1992,The Bronx,New York,No Info,High School,0,3.0,Two 14-year-old girls and a 16-year-old boy were shot at outside a Bronx high school.[252]
11/4/1992,Detroit,Michigan,No Info,High School,0,11.0,"11 students were hit by gunfire during a four-hour period in three separate school incidents, five were hospitalized. Six students atÂ¬â Finney High SchoolÂ¬â were grazed by buckshot after three ski-masked gunmen opened fire in a crowded hallway. A 14-year-old was in custody for shooting three Foch Middle School students as they passed by the Marcus Garvey Academy. In the third incident, 16-year-old DeWayne Boyd was hit in the chest, when shots were fired at twoÂ¬â Mumford High SchoolÂ¬â students.[253]"
11/10/1992,Chicago,Illinois,urban,Elementary School,0,No Info,No Info
11/13/1992,Houston,Texas,urban,High School,1,No Info,No Info
11/16/1992,Birmingham,Alabama,urban,High School,1,No Info,No Info
11/20/1992,Chicago,Illinois,urban,High School,1,No Info,No Info
11/23/1992,Buffalo,New York,urban,High School,0,No Info,No Info
12/3/1992,Chicago,Illinois,urban,Elementary School,1,No Info,No Info
12/14/1992,Great Barrington,Massachusetts,suburban,College,2,No Info,No Info
12/14/1992,Great Barrington,Massachusetts,No Info,College,2,4.0,"Wayne Lo, a student atÂ¬â Bard College at Simon's Rock, shot and killed one student and one professor, wounded three students and a security guard. After his rifle jammed, Lo later surrendered to authorities without further incident.[254]"
1/6/1993,Brentwood,New York,No Info,High School,0,1.0,"Brentwood High School. Former student, Matthew Hunter, was shot by two gunmen during a basketball game between Brentwood High School andÂ¬â Sachem High School. The assault was over a dispute about the theft of a gold chain.[255]"
1/8/1993,Kinzers,Pennsylvania,rural,High School,1,No Info,No Info
1/12/1993,Miami,Florida,urban,High School,1,No Info,No Info
1/18/1993,Grayson,Kentucky,suburban,High School,2,No Info,No Info
1/18/1993,Grayson,Kentucky,No Info,High School,2,0.0,"East Carter High School shooting: 17-year-old Scott Pennington, a student at East Carter High School, fatally shot his 48-year-old English teacher, Deanna McDavid, and 52-year-old head custodian, Marvin Hicks.[256]"
1/21/1993,Los Angeles,California,urban,High School,1,No Info,No Info
2/1/1993,Redmond,Washington,urban,Middle School,1,No Info,No Info
2/1/1993,Amityville,New York,suburban,High School,1,No Info,No Info
2/4/1993,Clayton County,Georgia,urban,High School,1,No Info,No Info
2/8/1993,Middle River,Minnesota,rural,Middle School,1,No Info,No Info
2/8/1993,Washington DC,District of Columbia,urban,High School,1,No Info,No Info
2/18/1993,Dallas,Texas,urban,High School,1,No Info,No Info
2/22/1993,Los Angeles,California,urban,High School,1,No Info,No Info
2/22/1993,Los Angeles,California,No Info,High School,1,0.0,"15-year-old Robert Heard, fatally shot 17-year-old Michael Shean Ensley in the corridor of the Reseda High School's science building.[257]"
2/26/1993,Gloucester,Massachusetts,suburban,High School,0,No Info,No Info
3/18/1993,Harlem,Georgia,suburban,High School,1,No Info,No Info
3/25/1993,St. Louis,Missouri,urban,High School,1,No Info,No Info
4/3/1993,Sacramento,California,urban,High School,1,No Info,No Info
4/14/1993,Irving,Texas,urban,High School,1,No Info,No Info
4/15/1993,Acushnet,Massachusetts,suburban,Middle School,1,No Info,No Info
4/15/1993,Acushnet,Massachusetts,No Info,Middle School,1,0.0,44-year-old David Taber entered Ford Middle School and took three hostages. He killed school nurse Carol Day. He was found not guilty of the murder by reason of insanity.[235]
4/16/1993,Sacramento,California,urban,High School,1,No Info,No Info
4/26/1993,Raleigh,North Carolina,urban,High School,1,No Info,No Info
5/14/1993,Irving,Texas,No Info,High School,1,0.0,"17-year-old Max Alexander Martinez, killed 17-year-old Jose Balderas, with a .38 caliber revolver in a hallway inÂ¬â Nimitz High SchoolÂ¬â during a dispute over girls.[258][259]"
5/24/1993,Red Hill,Pennsylvania,rural,High School,1,No Info,No Info
5/24/1993,Pennsburg,Pennsylvania,No Info,High School,1,0.0,15-year-old student Jason Smith killed another student who had bullied him atÂ¬â Upper Perkiomen High School. He was charged as an adult and sentenced to between twelve and twenty-five years in prison.[235][260]
5/27/1993,New Orleans,Louisiana,urban,High School,1,No Info,No Info
7/8/1993,Ogden,Utah,urban,College,1,No Info,No Info
8/31/1993,Atlanta,Georgia,urban,High School,1,No Info,No Info
9/2/1993,Dallas,Texas,urban,High School,1,No Info,No Info
9/17/1993,Sheridan,Wyoming,No Info,Middle School,1,4.0,"29-year-old Kevin Newman, wounded four students before killing himself at Central Junior High School.[261]"
9/18/1993,Sheridan,Wyoming,suburban,Middle School,1,No Info,No Info
10/12/1993,New Castle,Delaware,suburban,High School,1,No Info,No Info
10/14/1993,Detroit,Michigan,urban,High School,1,No Info,No Info
11/1/1993,Chicago,Illinois,urban,High School,1,No Info,No Info
11/4/1993,Jacksonville,Florida,urban,High School,1,No Info,No Info
11/4/1993,New Britain,Connecticut,urban,High School,1,No Info,No Info
11/4/1993,New Britain,Connecticut,No Info,High School,1,0.0,"18-year-old Miguel DeJesus, was gunned down on the steps ofÂ¬â New Britain High School.[262]Rival gang members, 24-year-old Maurice Flanagan and 23-year-old Thomas Mejia, were charged.[263]"
11/5/1993,Bay Springs,Mississippi,rural,High School,1,No Info,No Info
11/29/1993,Kansas City,Missouri,urban,High School,1,No Info,No Info
12/1/1993,Wauwatosa,Wisconsin,suburban,High School,1,No Info,No Info
12/1/1993,Wauwatosa,Wisconsin,No Info,High School,1,0.0,"Wauwatosa West High School shooting: 21-year-old former student, Leonard D. McDowell, shot 46-year-old associate principal, Dale Breitlow, three times with a revolver in a second-floor hallway ofÂ¬â Wauwatosa West High School.[264]Â¬â McDowell was found guilty of the murder and sane at the time of the shooting, he was sentenced to life in prison.[235]Â¬â His sentence was upheld by the state Court of Appeals in April 1997.[265]"
12/8/1993,Savannah,Georgia,urban,High School,1,No Info,No Info
12/17/1993,Chelsea,Michigan,suburban,High School,1,No Info,No Info
1/20/1994,Kennard,Texas,rural,High School,0,No Info,No Info
1/20/1994,Hacienda Heights,California,urban,High School,1,No Info,No Info
1/24/1994,Columbia,South Carolina,No Info,High School,1,0.0,"18-year-old Floyd Eugene Brown, shot fellowÂ¬â Eau Claire High SchoolÂ¬â student, 17-year-old Earnest Dunlap, following an argument the week before. Brown was arrested shortly after at his home. A 16-year-old boy was also arrested for kicking Dunlap after the shooting.[266]"
1/26/1994,Columbia,South Carolina,urban,High School,1,No Info,No Info
1/31/1994,Seattle,Washington,urban,Middle School,1,No Info,No Info
1/31/1994,Seattle,Washington,No Info,Middle School,1,0.0,"24-year-old Darrell Cloud, a former student at Whitman Middle School in North Seattle, killed 45-year-old Neal Summers, who had sexually abused Cloud since he was thirteen. Cloud served nine years in prison. He later received a $250,000 settlement in a civil suit againstÂ¬â Seattle Schools, charging that Summers had not been adequately supervised.[267]"
2/8/1994,Detroit,Michigan,urban,High School,1,No Info,No Info
2/14/1994,Belmont,California,suburban,High School,1,No Info,No Info
2/18/1994,Spartanburg,South Carolina,No Info,High School,0,1.0,"At around 10Â¬â p.m., 24-year-old Roosevelt Johnson was shot in the leg, after a basketball game atÂ¬â Spartanburg High School.[268]"
3/1/1994,Boonville,Missouri,suburban,College,2,No Info,No Info
3/1/1994,Boonville,Missouri,No Info,High School,2,0.0,"33-year-old Dante D. Hayes, a hunter and ex-convict, killed 58-year-old Richard Vancena, a cafeteria manager, and 33-year-old Robin Michelle Coleman, a cook, in the mess hall ofÂ¬â Kemper Military SchoolÂ¬â and College. He was drunk and looking for his wife Anna Hayes with whom he had a fight the night before. No students were harmed.[269]"
3/15/1994,Charleston,South Carolina,urban,High School,1,No Info,No Info
3/22/1994,Riveria Beach,Florida,urban,Middle School,0,No Info,No Info
3/23/1994,Seattle,Washington,urban,High School,1,No Info,No Info
3/25/1994,Woodstock,Georgia,suburban,High School,0,No Info,No Info
4/12/1994,Butte,Montana,suburban,Elementary School,1,No Info,No Info
4/12/1994,Butte,Montana,No Info,Elementary School,1,0.0,"10-year-old Jason Osmanson, teased because his parents haveÂ¬â AIDS, killed an 11-year-old student on the playground of Margaret Leary Elementary School. Osmanson was sent to a private residential treatment center.[235][259]"
4/13/1994,Los Angeles,California,urban,Elementary School,0,No Info,No Info
4/21/1994,Nashville,Tennessee,urban,Middle School,1,No Info,No Info
4/21/1994,Nashville,Tennessee,No Info,Middle School,1,0.0,"14-year-old Jeremy Bryant, killed 13-year-old Terrence Murray, in music class at J.T. Moore Middle School.[270]"
5/2/1994,North Miami,Florida,suburban,High School,1,No Info,No Info
5/25/1994,Union,Kentucky,suburban,High School,4,No Info,No Info
7/25/1994,Ottumwa,Iowa,suburban,High School,1,No Info,No Info
9/7/1994,Hollywood,California,urban,High School,1,No Info,No Info
10/12/1994,Greensboro,North Carolina,urban,High School,1,No Info,No Info
10/12/1994,Greensboro,North Carolina,No Info,High School,1,1.0,"After being suspended for smoking, 16-year-old Nicholas Atkinson, returned toÂ¬â Grimsley High SchoolÂ¬â with a 9Â¬â mm pistol. After wounding assistant principal, Bill Whites, Atkinson took his own life.[180][271][272]"
10/17/1994,Chicago,Illinois,No Info,High School,0,1.0,"A 16-year-old female student was shot in the thigh outsideÂ¬â Hubbard High SchoolÂ¬â when a teenage boy rode past on a bicycle and fired into a crowd. It is believed the shooting was meant for rival gang members, but the girl was hit instead. The boy lived in the neighborhood.[273]"
11/5/1994,San Leandro,California,urban,Elementary School,1,No Info,No Info
11/7/1994,Wickliffe,Ohio,suburban,Middle School,1,No Info,No Info
11/7/1994,Wickliffe,Ohio,No Info,Middle School,1,4.0,"Wickliffe Middle School shooting: 37-year-old former student, Keith A. Ledeger, killed 41-year-old custodian, Pete Christopher, at Wickliffe Middle School, and wounded 47-year-old assistant principal, Jim Anderson, 47-year-old police officer, Thomas Schmidt, and 50-year-old teacher, Lowell Grimm, before being injured and taken into custody.[235][259][274]"
11/15/1994,Tacoma,Washington,urban,High School,1,No Info,No Info
12/14/1994,Albany,New York,No Info,College,0,1.0,"Ralph J. Tortorici, 26, a military veteran and psychology major at theÂ¬â State University of New York at AlbanyÂ¬â held hostage a large lecture hall from 9:10Â¬â a.m. until 11:30Â¬â a.m. Tortorici, armed with a .270-caliber rifle with more than two dozen rounds of ammunition and a hunting knife, walked into the ancient history class of Hans Pohlsander, saying, ""Don't worry. Nobody move. You guys are getting held hostage."" The standoff ended when Tortorici had his gun taken away by Jason McEnaney, a 19-year-old student. McEnaney was shot in the leg, groin, and abdomen in the exchange. Tortorici suffered from a well-document history of mental illness, argued during the hostage crisis that the government had implanted a control chip in his head during a procedure at Albany Medical Center, and ultimately committed suicide in 1999 in prison while serving a 15 1/2 year sentence.[275][276][277][278]"
1/5/1995,Washington DC,District of Columbia,urban,High School,1,No Info,No Info
1/10/1995,Palm Beach Gardens,Florida,suburban,High School,0,No Info,No Info
1/12/1995,Seattle,Washington,urban,High School,0,No Info,No Info
1/12/1995,Seattle,Washington,No Info,High School,0,2.0,A 15-year-old student atÂ¬â Garfield High SchoolÂ¬â left school during the day and returned with his grandfather's handgun. He wounded two students.[279]
1/23/1995,Redlands,California,urban,Middle School,1,No Info,No Info
1/26/1995,Chapel Hill,North Carolina,urban,College,2,No Info,No Info
2/2/1995,Long Beach,California,urban,High School,1,No Info,No Info
8/29/1995,Laredo,Texas,urban,Middle School,1,No Info,No Info
9/12/1995,Memphis,Tennessee,urban,High School,1,No Info,No Info
9/14/1995,Olathe,Kansas,urban,High School,2,No Info,No Info
9/29/1995,Tavares,Florida,urban,Middle School,1,No Info,No Info
9/29/1995,Tavares,Florida,No Info,Middle School,1,0.0,"14-year-old student Keith E. Johnson, killed 13-year-old Joey Summerall, at Tavares Middle School with a handgun that he had stolen from his neighbor's home. He was convicted and sentenced to life in prison without the possibility of parole.[280]"
10/12/1995,Blackville,South Carolina,rural,High School,1,No Info,No Info
10/12/1995,Blackville,South Carolina,No Info,High School,2,1.0,"Blackville-Hilda High School shooting: Suspended student, 16-year-old Toby R. Sincino, killed 56-year-old math teacher, Phyllis Senn, and wounded 38-year-old math teacher, Johhnny Thompson, before committing suicide atÂ¬â Blackville-Hilda High School.[235][259][281][282]"
11/15/1995,Lynnville,Tennessee,rural,High School,2,No Info,No Info
11/15/1995,Lynnville,Tennessee,No Info,High School,2,1.0,"Richland High School shooting: 17-year-old James Rouse, killed a student and teacher at Richland High School and seriously wounded another teacher with a rifle.[235][281][283]"
11/28/1995,queens,New York,urban,High School,1,No Info,No Info
1/19/1996,District of Columbia,District of Columbia,urban,Middle School,1,No Info,No Info
1/19/1996,Washington,D.C.,No Info,High School,1,0.0,"Two masked gunmen killed 14-year-old Damion Blocker in a stairwell at Winston Education Center. 16-year-old shooter, Darrick Evans, was sentenced to 41 years to life in prison.[235]"
1/26/1996,memphis,Tennessee,urban,High School,1,No Info,No Info
2/2/1996,Moses Lake,Washington,suburban,Middle School,3,No Info,No Info
2/2/1996,Moses Lake,Washington,No Info,Middle School,3,1.0,"Frontier Middle School shooting: 14-year-old Barry Loukaitis, killed a teacher and two students and wounded another student when he opened fire on his algebra class. Loukaitis was sentenced to life in prison.[283][284]"
2/8/1996,Palo Alto,California,urban,High School,1,No Info,No Info
2/29/1996,St. Louis,Missouri,No Info,High School,1,1.0,"30-year-old Mark Boyd, hired 23-year-old Malik Nettles, to kill 15-year-old Kyunia Taylor, as she rode on a school bus bound for Beaumont High School. Taylor was pregnant with a child fathered by Boyd, a baby girl was delivered by emergency caesarean section, but died 23 days later. The bus driver was also shot, he survived.[285]"
3/11/1996,New London,North Carolina,rural,High School,1,No Info,No Info
4/11/1996,Talledega,Alabama,suburban,High School,1,No Info,No Info
6/4/1996,Hemet,California,urban,High School,1,No Info,No Info
8/15/1996,San Diego,California,urban,College,3,No Info,No Info
8/15/1996,San Diego,California,No Info,College,3,0.0,"San Diego State University shooting: AtÂ¬â San Diego State University, 36-year-old graduate student, Frederick Martin Davidson, killed three professors, 32-year-old Chen Liang, 44-year-old D. Preston Lowrey III, and 36-year-old Costas Lyrintzis, that he believed were involved in a conspiracy against him.[283][286][287]Â¬â Davidson was sentenced to serve three life terms.[288]"
8/26/1996,San Antonio,Texas,urban,College,1,No Info,No Info
9/17/1996,State College,Pennsylvania,urban,College,1,No Info,No Info
9/17/1996,State College,Pennsylvania,No Info,College,1,2.0,"19-year-old Jillian Robbins, killed one student and injured two outsideÂ¬â Pennsylvania State University'sÂ¬â HUBâÃÃ¬Robeson Center.[283][289][290]"
9/25/1996,Scottdale,Georgia,suburban,High School,1,No Info,No Info
9/25/1996,Decatur,Georgia,No Info,High School,1,2.0,"16-year-old David Dubose Jr., killed English teacher, Horace Morgan, on the steps of Dekalb Alternative School. Dubose was found not guilty by reason of insanity and was committed indefinitely to a state mental hospital.[167]"
10/2/1996,Philadelphia,Pennsylvania,urban,Elementary School,2,No Info,No Info
10/4/1996,Playa del Rey,California,suburban,High School,1,No Info,No Info
10/9/1996,Sherwood,Arkansas,No Info,-,1,0.0,"14-year-old Willis Ward Johnson, killed 20-year-old James Earl Routt, as they rode a school bus.[291]"
10/13/1996,St. Louis,Missouri,urban,High School,1,No Info,No Info
10/16/1996,West Lafayette,Indiana,suburban,College,1,No Info,No Info
11/27/1996,Sacramento,California,urban,High School,1,No Info,No Info
1/11/1997,Brooklyn,New York,urban,High School,1,No Info,No Info
1/27/1997,West Palm Beach,Florida,urban,Middle School,1,No Info,No Info
1/27/1997,West Palm Beach,Florida,No Info,Middle School,1,0.0,"14-year-old Conniston Middle School student, Tronneal Mangum, fatally shot 14-year-old classmate, John Pierre Kamel, just minutes before school started, over a $40 debt.[292]"
1/31/1997,Tulsa,Oklahoma,urban,No Info,1,No Info,No Info
2/19/1997,Bethel,Alaska,suburban,High School,2,No Info,No Info
2/19/1997,Bethel,Alaska,No Info,High School,2,2.0,"Bethel Regional High School shooting: 16-year-old student, Evan Ramsey, killedÂ¬â Bethel Regional High SchoolÂ¬â principal, Ron Edwards, and 15-year-old student, Joshua Palacios, and wounded two other students.[283][293]"
2/20/1997,Jacksonville,Florida,urban,High School,1,No Info,No Info
3/18/1997,Detroit,Michigan,urban,High School,1,No Info,No Info
10/1/1997,Pearl,Mississippi,suburban,High School,3,No Info,No Info
10/1/1997,Pearl,Mississippi,No Info,High School,3,7.0,"Pearl High School shooting: 16-year-old Luke Woodham, murdered his 50-year-old mother, Mary, at home before killing his ex-girlfriend, 16-year-old student, Christina Menefee, and 17-year-old student, Lydia Kaye Dew, then wounding seven others atÂ¬â Pearl High School.[283][294][295][296]"
10/14/1997,Garland,Texas,urban,High School,1,No Info,No Info
10/15/1997,Palmetto,Florida,No Info,Middle School,0,1.0,"After an argument between them the day before, 13-year-old Brandon Hartsoe took a .38 revolver from his mother's dresser drawer and shot 13-year-old Lincoln Middle School classmate, Trent Murray, in the back causing serious injury, then continued to fire three more shots in the general area of other students.[297]Â¬â Hartsoe was sentenced in 1998 to serve until his 18th birthday. His probation was set to end in October 2009.[298]"
10/22/1997,Norwalk,California,urban,High School,2,No Info,No Info
11/13/1997,Sacramento,California,urban,Elementary School,1,No Info,No Info
12/1/1997,West Paducah,Kentucky,suburban,High School,3,No Info,No Info
12/1/1997,West Paducah,Kentucky,No Info,High School,3,5.0,"Heath High School shooting: Three students were killed and five wounded by 14-year-old Michael Carneal, as they participated in a prayer circle. Carneal was sentenced to life in prison.[283]"
12/15/1997,Stamps,Arkansas,rural,High School,2,No Info,No Info
12/15/1997,Stamps,Arkansas,No Info,High School,0,2.0,"Concealed in a wooded area on school grounds, 14-year-old Joseph ""Colt"" Todd, wounded two students as they were entering Stamps High School.[283][299]"
2/25/1998,Reed City,Michigan,rural,High School,1,No Info,No Info
3/1/1998,Philadelphia,Pennsylvania,No Info,College,1,3.0,"At around 4:15Â¬â p.m., gunfire broke out as a crowd streamed from theÂ¬â PalestraÂ¬â after a high school championship basketball game near theÂ¬â University of Pennsylvania. A 22-year-old man was shot in the back and killed, and a student working at the fine arts building was shot in the leg.[300]"
3/24/1998,Jonesboro,Arkansas,urban,Middle School,5,No Info,No Info
3/24/1998,Craighead County,Arkansas,No Info,Middle School,5,10.0,"Westside Middle School shootings: 13-year-oldÂ¬â Mitchell Johnson, and 11-year-oldÂ¬â Andrew Golden, killed a teacher and four students, and wounded ten others, as Westside Middle School emptied during a fire alarm intentionally set off by Golden.[301][302]"
3/25/1998,Coldwater,Michigan,suburban,High School,1,No Info,No Info
3/30/1998,Chapel Hill,North Carolina,urban,Middle School,0,No Info,No Info
4/24/1998,Edinboro,Pennsylvania,suburban,High School,1,No Info,No Info
4/24/1998,Edinboro,Pennsylvania,No Info,Middle School,1,3.0,"Parker Middle School dance shooting: 14-year-old student, Andrew Wurst, fatally shot 48-year-old teacher, John Gillette, and wounded two students and another teacher at an 8th grade graduation dance. He is serving a thirty to sixty-year sentence in a prison for young offenders.[302][303]"
4/28/1998,Pomona,California,urban,Elementary School,2,No Info,No Info
5/1/1998,Buffalo,New York,urban,Elementary School,1,No Info,No Info
5/19/1998,Fayetteville,Tennessee,suburban,High School,1,No Info,No Info
5/19/1998,Fayetteville,Tennessee,No Info,High School,1,0.0,"18-year-old Jacob Lee Davis, shot 18-year-old Robert Creson, at Lincoln County High School in a dispute over a girl.[304]Â¬â Davis received a life sentence on July 29, 1999.[305]"
5/21/1998,Springfield,Oregon,urban,High School,4,No Info,No Info
5/21/1998,Rialto,California,urban,High School,1,No Info,No Info
5/21/1998,Springfield,Oregon,No Info,High School,4,23.0,"Thurston High School shooting: After killing his parents at home, 15-year-oldÂ¬â Kip Kinkel, drove toÂ¬â Thurston High School, where he killed two students and wounded 23 others.[302]Â¬â After pleading guilty, he was sentenced to 111 years of prison.[306]"
5/27/1998,Pasadena,California,urban,Middle School,0,No Info,No Info
5/29/1998,Fort Lauderdale,Florida,urban,High School,2,No Info,No Info
6/15/1998,Richmond,Virginia,urban,High School,0,No Info,No Info
6/15/1998,Richmond,Virginia,No Info,High School,0,2.0,"14-year-old student, Quinshawn Brooker, wounded 45-year-old basketball coach and history teacher, Gregory Carter, and 74-year-oldÂ¬â Head StartÂ¬â volunteer, Eloise Wilson, in the hallway ofÂ¬â Armstrong High School.[302][307]"
9/4/1998,San Bernardino,California,urban,College,2,No Info,No Info
9/12/1998,Glendale,California,urban,High School,0,No Info,No Info
12/10/1998,Detroit,Michigan,urban,College,1,No Info,No Info
12/10/1998,Detroit,Michigan,No Info,College,1,0.0,"52-year-old Professor Andrzej Olbrot, was killed by 48-year-old graduate doctoral student, Wlodzimierz Dedecjusat, atÂ¬â Wayne State University.[308]"
1/8/1999,Carollton,Georgia,suburban,High School,2,No Info,No Info
1/8/1999,Carrollton,Georgia,No Info,High School,1,1.0,"15-year-old Andrea Garrett was found dead, and 17-year-old Jeff Miller seriously wounded in the girls' restroom atÂ¬â Central Carrollton County High School, after a suicide pact because Garrett's mother had previously forbidden her to see Miller.[309]"
1/21/1999,North Richland Hills,Texas,urban,High School,1,No Info,No Info
2/11/1999,Elgin,Illinois,urban,High School,0,No Info,No Info
4/16/1999,Notus,Idaho,rural,High School,0,No Info,No Info
4/16/1999,Notus,Idaho,No Info,High School,0,0.0,"15-year-old Shawn Cooper, fired two shots from a shotgun near the front desk at Notus Jr. Sr. High School. There were no serious injuries, but some students were close enough to the blast to be grazed by shrapnel from the tile floor. Cooper had been undergoing treatment forÂ¬â bipolar disorder.[310]"
4/20/1999,Littleton,Colorado,suburban,High School,15,No Info,No Info
4/20/1999,Littleton,Colorado,No Info,High School,15,21.0,"Columbine High School massacre: 18-year-oldÂ¬â Eric HarrisÂ¬â and 17-year-oldÂ¬â Dylan Klebold, students atÂ¬â Columbine High School, killed twelve students and one teacher. They injured 21 additional people, and three more were injured while attempting to escape the school. The pair committed suicide at the end of the massacre.Â¬â [302][311]"
4/23/1999,Atlanta,Georgia,urban,Middle School,1,No Info,No Info
5/20/1999,Conyers,Georgia,suburban,High School,0,No Info,No Info
5/20/1999,Conyers,Georgia,No Info,High School,0,6.0,"15-year-old student Thomas ""T.J."" Solomon Jr., wounded six students atÂ¬â Heritage High School. A 15-year-old girl was hospitalized in critical condition, and the other victims suffered from non-life-threatening injuries.[302]Â¬â Solomon initially faced up to 351 years of prison if convicted of aggravated assault and other charges. In 2000 he was foundÂ¬â guilty but mentally illÂ¬â and was sentenced to forty years in prison and sixty-five years of probation.[312]"
8/25/1999,Monticello,Georgia,suburban,High School,1,No Info,No Info
9/7/1999,Plano,Texas,urban,High School,1,No Info,No Info
9/9/1999,San Jose,California,urban,High School,1,No Info,No Info
11/19/1999,Deming,New Mexico,suburban,Middle School,0,No Info,No Info
11/19/1999,Deming,New Mexico,No Info,Middle School,1,0.0,"13-year-old Victor Cordova Jr., fatally shot 13-year-old Deming Middle School schoolmate, Araceli Tena. Cordova said he had intended to commit suicide but was jostled by others and his gun moved.[302][313]"
12/6/1999,Fort Gibson,Oklahoma,suburban,Middle School,0,No Info,No Info
12/6/1999,Fort Gibson,Oklahoma,No Info,Middle School,0,6.0,"Before his middle school opened, 13-year-old Seth Trickey opened fire in the courtyard. While there were no fatalities, several students felt sparks from the bullets hitting the building walls. Five were injured, including a girl who was shot in the face.[302]Â¬â Trickey brought the gun from home.[314]"
1/19/2000,New Port Richey,Florida,suburban,High School,0,No Info,No Info
2/29/2000,Flint,Michigan,urban,Elementary School,1,No Info,No Info
2/29/2000,Flint,Michigan,No Info,Elementary School,1,0.0,"Shooting of Kayla Rolland: At Buell Elementary School, 6-year-old Dedrick Owens fatally shot 6-year-old classmate Kayla Rolland. Owens has since been the youngest documented school shooter.[316]"
5/10/2000,Sierra Vista,Arizona,urban,Elementary School,2,No Info,No Info
5/26/2000,Lake Worth,Florida,suburban,Middle School,1,No Info,No Info
